30-orangepi-sysinfo	check_qx —   FAIL: sh2perl-BxFc0NSK.pl.sh [perl] — QX violation: qx{} call with builtin 'awk'
mysql-server-8.0.preinst	sh2perl generation, exit=1
mysqld_safe	check_qx —   FAIL: sh2perl-fwj9zoq5.pl.sh [perl] — OPEN3 violation: open3
namespace.init	perlcritic — Integer with leading zeros: "0777" at line 121, column 42.  See page 58 of PBP.
nand-sata-install	sh2perl generation, exit=1
ofm_grep	check_qx —   FAIL: sh2perl-79skwTA6.pl.sh [perl] — QX violation: qx{} call with builtin 'perl'
orangepi-apt-updates	sh2perl generation, exit=1
orangepi-firstlogin	sh2perl generation, exit=1
orangepi-firstrun	check_qx —   FAIL: sh2perl-MRaUzI3Y.pl.sh [perl] — EXEC violation: exec bash/sh -c wrapping builtin 'sleep'
orangepi-hardware-optimization	sh2perl generation, exit=1
orangepi-ramlog	check_qx —   FAIL: sh2perl-oslcGSMI.pl.sh [perl] — OPEN3 violation: open3
orangepi-truncate-logs	check_qx —   FAIL: sh2perl-Sz08eKdU.pl.sh [perl] — OPEN3 violation: open3
orangepimonitor	sh2perl generation, exit=1
plymouth-populate-initrd	sh2perl generation, exit=1
postrm	sh2perl generation, exit=1
pre-commit	sh2perl generation, exit=1
pre-commit.sample	sh2perl generation, exit=1
pre-rebase.sample	check_qx —   FAIL: sh2perl-kQUnwzqP.pl.sh [perl] — SYSTEM violation: system
prepare-commit-msg.sample	check_qx —   FAIL: sh2perl-q6w4nCmX.pl.sh [perl] — SYSTEM violation: system
project-id	sh2perl generation, exit=1
py-compile	sh2perl generation, exit=1
sargraph	check_qx —   FAIL: sh2perl-gPJ5TLAy.pl.sh [perl] — QX violation: qx{$which_cmd} where $which_cmd contains builtin 'find'
sargraph2	sh2perl generation, exit=1
sc	sh2perl generation, exit=1
scd-event	sh2perl generation, exit=1
selinux-autorelabel	check_qx —   FAIL: sh2perl-6oxR3QeV.pl.sh [perl] — OPEN3 violation: open3
setupcon	check_qx —   FAIL: sh2perl-XZw6sidn.pl.sh [perl] — bash/sh -c wrapping builtin 'echo'
shadowconfig	sh2perl generation, exit=1
shell-proxy.plugin.zsh	sh2perl generation, exit=1
softy	sh2perl generation, exit=1
spatchcache	sh2perl generation, exit=1
spotify	check_qx —   FAIL: sh2perl-WWe5tFWo.pl.sh [perl] — OPEN3 violation: open3
ssh	sh2perl generation, exit=1
ssh-copy-id	sh2perl generation, exit=1
tzselect	sh2perl generation, exit=1
ucf	sh2perl generation, exit=1
uncloud-init	sh2perl generation, exit=1
update-apparmor-samba-profile	sh2perl generation, exit=1
update-initramfs	check_qx —   FAIL: sh2perl-Xc6Q9u1g.pl.sh [perl] — OPEN3 violation: open3
update-pciids	sh2perl generation, exit=1
update-smart-drivedb	sh2perl generation, exit=1
usb-devices	sh2perl generation, exit=1
vsftpd	check_qx —   FAIL: sh2perl-paWZfvK4.pl.sh [perl] — OPEN3 violation: open3
wireless-tools	sh2perl generation, exit=1
wiringpi.postinst	check_qx —   FAIL: sh2perl-pYXKQKRO.pl.sh [perl] — SYSTEM violation: system
xdg-open	sh2perl generation, exit=1
xzdiff	sh2perl generation, exit=1
xzgrep	sh2perl generation, exit=1
ylwrap	sh2perl generation, exit=1
zdiff	sh2perl generation, exit=1
zforce	check_qx —   FAIL: sh2perl-YvgWa0G7.pl.sh [perl] — bash/sh -c wrapping builtin 'echo'
zgrep	sh2perl generation, exit=1
